nom,région,grande région,2018caq,2018pcq,2018plq,2018pq,2018qs,2018autres
Saint-Henri–Sainte-Anne,Montréal,grand Montréal,18.68,1.22,38.06,11.47,23.83,6.74
Saint-Hyacinthe,Montérégie,reste du Québec,52,0,14.11,15.98,16.72,1.19
Saint-Jean,Montérégie,reste du Québec,39.5,0.87,11.64,30.99,14.44,2.56
Saint-Jérôme,Laurentides,reste du Québec,43.74,0.88,8.97,27.42,15.85,3.14
Saint-Laurent,Montréal,grand Montréal,15.16,3.03,61.97,6.47,8.62,4.75
Sainte-Marie–Saint-Jacques,Montréal,grand Montréal,10.99,0.52,21.15,13.99,49.28,4.07
Sainte-Rose,Laval,grand Montréal,36.84,1.16,30.12,14.5,13.88,3.5
Sanguinet,Montérégie,grand Montréal,43.54,1.19,13.98,24.77,14.72,1.8
Sherbrooke,Estrie,reste du Québec,23.39,0,24.67,14.59,34.27,3.08
Soulanges,Montérégie,reste du Québec,39.23,0.83,33.74,10.25,11.55,4.4
Taillon,Montérégie,grand Montréal,33.76,0.65,16.74,28.08,17.68,3.09
Taschereau,Capitale-Nationale,région de Québec,18.98,0,17.66,17.64,42.52,3.2
Terrebonne,Lanaudière,grand Montréal,42.97,0.7,12.12,29.49,12.86,1.86
Trois-Rivières,Mauricie,reste du Québec,41.07,1.71,22.84,15.43,17.18,1.77
Ungava,Nord-du-Québec,reste du Québec,26.51,2.24,24.92,25.97,16.53,3.83
Vachon,Montérégie,grand Montréal,43.61,1.22,21.03,17.04,14.5,2.6
Vanier-Les Rivières,capitale-Nationale,région de Québec,45.1,3.59,25.56,9.95,12.21,3.59
Vaudreuil,Montérégie,grand Montréal,32.63,1.7,39.92,10.05,10.05,5.65
Verchères,Montérégie,grand Montréal,37.49,0.83,8.82,35.67,14.76,2.43
Verdun,Montréal,grand Montréal,20.38,0.7,35.51,12.62,23.95,6.84
Viau,Montréal,grand Montréal,15.73,1.26,46.63,8.31,24.33,3.74
Vimont,Laval,grand Montréal,34.87,0.93,36.69,12.39,11.52,3.6
Westmount–Saint-Louis,Montréal,grand Montréal,9.68,2.2,66.71,5.07,10.25,6.09
